"Check","Name","Value"
"ScheduledTasks","Logon Synchronization","\Microsoft\Windows\Offline Files\"
"ScheduledTasks","Secure-Boot-Update","\Microsoft\Windows\PI\"
"ScheduledTasks","Sqm-Tasks","\Microsoft\Windows\PI\"
"ScheduledTasks","Server Manager Performance Monitor","\Microsoft\Windows\PLA\"
"ScheduledTasks","Device Install Group Policy","\Microsoft\Windows\Plug and Play\"
"ScheduledTasks","Device Install Reboot Required","\Microsoft\Windows\Plug and Play\"
"ScheduledTasks","Sysprep Generalize Drivers","\Microsoft\Windows\Plug and Play\"
"ScheduledTasks","AnalyzeSystem","\Microsoft\Windows\Power Efficiency Diagnostics\"
"ScheduledTasks","LoginCheck","\Microsoft\Windows\PushToInstall\"
"ScheduledTasks","Registration","\Microsoft\Windows\PushToInstall\"
"ScheduledTasks","MobilityManager","\Microsoft\Windows\Ras\"
"ScheduledTasks","VerifyWinRE","\Microsoft\Windows\RecoveryEnvironment\"
"ScheduledTasks","RegIdleBackup","\Microsoft\Windows\Registry\"
"ScheduledTasks","CleanupOldPerfLogs","\Microsoft\Windows\Server Manager\"
"ScheduledTasks","ServerManager","\Microsoft\Windows\Server Manager\"
"ScheduledTasks","StartComponentCleanup","\Microsoft\Windows\Servicing\"
"ScheduledTasks","Account Cleanup","\Microsoft\Windows\SharedPC\"
"ScheduledTasks","CreateObjectTask","\Microsoft\Windows\Shell\"
"ScheduledTasks","IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\"
"ScheduledTasks","UpdateUserPictureTask","\Microsoft\Windows\Shell\"
"ScheduledTasks","Collection","\Microsoft\Windows\Software Inventory Logging\"
"ScheduledTasks","Configuration","\Microsoft\Windows\Software Inventory Logging\"
"ScheduledTasks","SvcRestartTask","\Microsoft\Windows\SoftwareProtectionPlatform\"
"ScheduledTasks","SvcRestartTaskLogon","\Microsoft\Windows\SoftwareProtectionPlatform\"
"ScheduledTasks","SvcRestartTaskNetwork","\Microsoft\Windows\SoftwareProtectionPlatform\"
"ScheduledTasks","SpaceAgentTask","\Microsoft\Windows\SpacePort\"
"ScheduledTasks","SpaceManagerTask","\Microsoft\Windows\SpacePort\"
"ScheduledTasks","SpeechModelDownloadTask","\Microsoft\Windows\Speech\"
"ScheduledTasks","MaintenanceTasks","\Microsoft\Windows\StateRepository\"
"ScheduledTasks","Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\"
"ScheduledTasks","Storage Tiers Optimization","\Microsoft\Windows\Storage Tiers Management\"
"ScheduledTasks","Interactive","\Microsoft\Windows\Task Manager\"
"ScheduledTasks","MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\"
"ScheduledTasks","ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\"
"ScheduledTasks","SynchronizeTime","\Microsoft\Windows\Time Synchronization\"
"ScheduledTasks","SynchronizeTimeZone","\Microsoft\Windows\Time Zone\"
"ScheduledTasks","Tpm-HASCertRetr","\Microsoft\Windows\TPM\"
"ScheduledTasks","Tpm-Maintenance","\Microsoft\Windows\TPM\"
"ScheduledTasks","MusUx_UpdateInterval","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","Reboot_AC","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","Report policies","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","Schedule Maintenance Work","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","Schedule Scan","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","Schedule Scan Static Task","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","Schedule Wake To Work","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","Schedule Work","\Microsoft\Windows\UpdateOrchestrator\"
